제목,날짜,링크,요약,type,date,contents
Marcor Stevedoring closes contract on new LHM 800,Press releases |03/03/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/marcor-stevedoring-closes-contract-on-new-lhm-800.html?page=11,"Marcor Stevedoring has signed a contract adding Liebherr’s largest and most powerful mobile harbour crane to its dry bulk terminal in Rotterdam. The LHM 800 offers commanding and flexible performance, complemented by an electric drive and Liebherr assistance systems that will allow it to operate with a more environmentally friendly footprint. Additional digital interfaces and data connection features also make it overall more efficient and smarter.Find out more",Press releases,03/03/2023,"Liebherr’s strongest and most innovative mobile harbour crane helps mark the next chapter in logistical operations at Marcor Stevedoring in Rotterdam. On February 21, representatives from Marcor, C. Steinweg Group, and Liebherr met in Rotterdam for a contract signing ceremony. The new LHM 800 purchased by Marcor Stevedoring will play a key role in contributing to more economical and environmentally friendly operations at its forthcoming dry bulk terminal. The bulk cargo capacity of this giant is also unique at up to 2,300 tonnes per hour. Technical innovations in Liebherr’s latest-generation mobile harbour crane – including its electric drive unit, updated cabin, and more digital infrastructure – help ensure that current and future demands by the terminal can be effectively met. For example, it’s equipped for digitalised operating management and the integration of future assistance and partial automation systems. These benefits contribute to a more streamlined operation of the crane, saving time and costs for the operator.. Servicing new dry bulk terminal in Rotterdam, equipped for future innovationsFounded in 1997, Marcor is a professional dry bulk terminal operator that has so far had the unique characteristic of not having a shore facility at its disposal. Floating grab cranes and weighing towers have facilitated fast and efficient transfer of commodities to date. An expansion at the Steinweg Hartel Terminal, foreseen to commence operations through 2023, will encompass redevelopment and construction of state-of-the-art storage facilities onshore, with further plans to phase in sustainable and efficient storage and stevedoring operations at the site.C. Steinweg – parent company of Marcor Stevedoring – was also in attendance at the signing ceremony. “Our acquisition of a Liebherr LHM 800 for the Steinweg Hartel Terminal is an important step for us in ensuring that our bulk operations and services maintain strong growth,” states Ulf Boll, CEO at C. Steinweg Group, “we commenced the development of a new 160,000 cubic meter quay-bound bulk warehouse, and these are directly reachable through a single manipulation crane grab. Size, performance, and mobility were therefore important factors in our investment decision. The crane’s electric motor and Liebherr’s service offering rounded off this package. The fact that it’s fully electric is also aligned with our ESG strategy and our path to a carbon neutral operation. We’re excited to see the LHM 800 in action at our terminal and look forward to a productive future with Liebherr as a partner.”The expanded terminal will feature 130,000 m2 of space, a 600-metre quay with 16-metre draft alongside, and vessel handling options from barges up to 120,000 DWT baby-cape vessels, both for board-to-board transshipment and discharge to/from the terminal. Its development also supports a more sustainable operating model, including electrified shore cranes and conveying equipment, with 11,000 m2 of solar panels being installed already.“We’re pleased to support Marcor Stevedoring’s Rotterdam terminal with our newest LHM 800,” notes Andreas Ritschel, Deputy Sales Director for Liebherr Mobile Harbour Cranes, “among its innovations is the ability to interface with more components, making it possible to provide handling performance through electric power and offer smarter fleet management and maintenance overall. This will help save resources over time. Our network of skilled service technicians will also contribute to the machine’s long and productive life here in Rotterdam.”The terminal is perfectly suited for the LHM 800, which can utilize an electrified infrastructure and empowers Marcor to handle larger quantities of bulk materials with a farther reach and reduced environmental costs. The two E-drive motors are installed internally within the crane’s engine room and are therefore protected from the elements, another benefit for the major bulk operations ahead.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (1.5 MB)Presseinformation Deutsch PDF (574 KB)Press release EnglishDOCX (1.5 MB)Press release EnglishPDF (662 KB)ImagesZIP (20.2 MB). . Philipp  HelbergLiebherr-MCCtec Rostock GmbHLiebherrstraße 118147 RostockGermanyPhone+49 381 60065024Send contact request. "
Wasel decides on two new Liebherr mobile construction cranes for further growth,Press releases |03/03/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/wasel-decides-on-two-new-liebherr-mobile-construction-cranes-for-further-growth.html?page=11,"Liebherr has delivered two new mobile construction cranes to Wasel GmbH: an MK 88-4.1 and an MK 140 Plus. Based in Bergheim near Cologne, the crane company plans to expand further in the next few years.Find out more",Press releases,03/03/2023,"Wasel has been a dealer for Liebherr tower cranes for over 65 years and has also opted for Liebherr mobile construction cranes for many years. And now two more have joined the fleet. “We're impressed by the MK concept. So it was clear to us that mobile construction cranes would also be part of our growth strategy,” said managing director Matthias Wasel at the handover. “The new mobile construction cranes optimally meet our customers’ requirements in terms of efficient and trouble-free crane operation.”Taxi crane concept for fast deploymentThe new taxi cranes mean Wasel can efficiently manage several construction sites in one day, as only one person is needed for travel, assembly and operation. The machines automatically unfold at the push of a button within just a few minutes, and without the need for any other resources. Wasel plans to primarily use the new cranes for jobs in the petrochemical industry and in urban areas, for projects such as roofing and façade work. The mobile construction cranes can be erected directly at buildings, thereby making optimal use of their jib length.MK 88-4.1 with ecological hybrid power conceptThe environmentally responsible use of construction machinery is becoming ever more important for building projects. The MK 88-4.1, which features a maximum lifting capacity of eight tonnes, scores particularly well in this respect. Thanks to its hybrid power concept, the crane can work with site electricity or another local power source without generating any CO2 emissions.Plus, it's particularly quiet in electric operation, which can be a particular advantage for night-time construction sites in residential areas. If an external power source isn’t available, an efficient diesel generator ensures self-sufficient operation. The MK 88-4.1 offers a hook height of up to approx. 59 metres (45-degree luffed position) and a maximum radius of 45 metres.MK 140 Plus for extra-long reachThe MK 140 Plus easily copes with situations where a longer reach is required. Liebherr's largest mobile construction crane offers a jib length of 58.5 metres in trolley mode. Luffing mode even makes a radius of up to 65 metres possible. A special feature of the MK 140 Plus, which can lift a maximum of eight tonnes, is its VarioJib function. This allows the crane to be operated flexibly in trolley or luffing mode, according to requirements. While trolley mode enables strong handling performance in trolley operation, a hook height of up to 94.4 metres is possible in luffing mode.Both the superstructure and the undercarriage of the MK 88-4.1 and MK 140 Plus can be powered by HVO, a fuel produced from hydrogenated vegetable oils, and preferably from waste. Our production sites started delivering mobile construction cranes with this fuel last year. Fuelling with HVO helps to reduce emissions and promotes climate neutrality on construction sites in the long term.About WaselWasel GmbH offers a full range of services in the field of heavy duty logistics from its base in Bergheim, Rhineland, as well as ten other locations. Wasel is also a dealer for Liebherr tower cranes. The company currently has a fleet of over 700 machines and vehicles, including the latest mobile, lattice and crawler cranes, heavy goods vehicles, and tower cranes. With a team of more than 400 skilled employees, Wasel provides solutions for challenging tasks set by customers in industry, the petrochemical sector, and various other areas. Wasel has been part of the Hagedorn Group since June 2021 and is therefore part of one of Germany's top service providers for modern structural change.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (177 KB)Presseinformation Deutsch PDF (264 KB)Press release EnglishDOCX (198 KB)Press release EnglishPDF (279 KB)ImagesZIP (4.7 MB). Daniel HäfeleGlobal CommunicationLiebherr-Werk Biberach GmbHMemminger Straße 12088400 Biberach an der RißGermanyPhone+49 7351 41 2330Send contact request. "
Jayson Cody: From start to finish,News |03/02/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/jayson-cody-from-start-to-finish.html?page=11,"Coming back for his third ConExpo with Liebherr, Jayson Cody has had a helping hand in every process of the show. As a District Support Representative for Liebherr’s Earthmoving division, Jayson assists in pre-show planning, assembling machines to prepare them for display, providing on-site support for all machines within his division as well as disassembly. Jayson puts in a large amount of work behind the scenes up to one year ahead of the show.Find out more",News,03/02/2023,"Coming back for his third Conexpo with Liebherr, Jayson Cody has had a helping hand in every process of the show for Liebherr’s Earthmoving division. As a District Support Representative for Liebherr’s Earthmoving division, Jayson assists in pre-show planning, assembling machines to prepare them for display, providing on-site support for all machines within his division as well as disassembly. Jayson puts in a large amount of work behind the scenes up to one year ahead of the show.Once on-site, it is time for assembly and final touches to the machines. Jayson mentions, “Getting the machines trade show ready and placed at the show site can be challenging for sure. On the other hand, it is also very rewarding to watch everything come together.”When asked what his favorite part of ConExpo is, Jayson said, “Teardown and moveout because this stage represents a successful show took place, and I can relax a bit while sending my divisions machines to their prospective destinations.”You can meet Jayson within the Earthmoving area at the Liebherr outdoor booth! "
The Liebherr R 945 G8 wows customer in New Caledonia,Press releases |03/02/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/the-liebherr-r-945-g8-wows-customer-in-new-caledonia.html?page=11,"Our New Caledonian customer YADAMWA chose the powerful R 945 crawler excavator, which is perfectly suited to particularly demanding open cast mining work.Find out more",Press releases,03/02/2023,"In 2022, YADAMWA, a mining contractor based in New Caledonia, the South Pacific island group belonging to France, has purchased its first Liebherr machine. The first R 945 excavator has now been followed by an additional order for other Liebherr machines.Maximum performance and safety in extractionThe working environment of a mining site is particularly demanding. The R 945 belongs to the generation 8 of Liebherr crawler excavators. The powerful 220 kW motor and automatic power adjustment make it a high-performance machine equally at home on all types of ground.The glazed operator’s cab of the R 945 offers a panoramic view of the working area, whatever the working situation. The windows are tinted to optimally protect the operator from the effects of temperature and glare. The cab has also been adapted to the standards in force on site. So, for example, a HEPA filtration system – mandatory on all mining sites in New Caledonia – has been installed to prevent asbestos particles from getting into the cab.Follow-up orders placed by YADAMWA: our customer was convinced by the quality and reliabilityLast year, our customer from New Caledonia purchased its first Liebherr machine for earthmoving at its open cast mine as well as for loading dump trucks, areas in which YADAMWA specialises. The R 945 has since been followed by two other Liebherr models. In addition, the customer opted to buy a used PR 724 bulldozer, which is operated by one of its subsidiaries. YADAMWA particularly appreciates the quality and reliability of Liebherr machines, which set them apart from the competition.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (199 KB)Presseinformation Deutsch PDF (696 KB)Press release EnglishDOCX (239 KB)Press release EnglishPDF (703 KB)Information Presse Français DOCX (239 KB)Information Presse Français PDF (704 KB)Información de Prensa EspañolDOCX (239 KB)Información de Prensa EspañolPDF (614 KB)ImagesZIP (56.6 MB). . Alban VillauméService Marketing CommunicationLiebherr-France SAS2, avenue Joseph Rey68005 Colmar/CedexFrancePhone+333 89 2130-30Send contact request. "
Liebherr automates disassembly of battery packs,Press releases |03/02/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-automates-disassembly-of-battery-packs.html?page=11,"In 2030, the batteries of an estimated four million electric vehicles will reach the end of their useful life. The lithium-ion batteries contain valuable raw materials, and recycling them makes both ecological and economic sense. Up to now, however, the disassembly of the battery system has still been complex and expensive as the separation of the components is usually done manually. This is where Liebherr-Verzahntechnik GmbH comes in. The company is developing strategies and processes for the automated disassembly of battery packs and is a partner in the federal government-funded research project “ZIRKEL”, which investigates the entire circular economy of traction batteries.Find out more",Press releases,03/02/2023,"Lithium-ion vehicle batteries are taken out of circulation once their total capacitance has reached about 70-80% of their original capacitance (state-of-health). The majority of these batteries are recycled and the raw materials are returned to the material cycle for the production of new batteries. Depending on their condition, a small proportion of the old batteries are reused in battery-electric vehicles (remanufacturing) or in second-life applications such as stationary battery storage systems. When they have finally reached the end of their useful life, the new EU Battery Regulation stipulates recycling quotas and minimum quantities of reused raw materials in new production. The industry must find the most efficient solutions possible for returning them to the material cycle, especially since the volumes of batteries returned will increase significantly in the future. The aim is to achieve a sustainable, CO₂-neutral battery production along the entire process chain with unlimited reuse of materials in a closed product life cycle. This is intended to minimize waste products and dependence on important primary materials.High recycling rates through automationDue to the relatively low quantities and large number of variants of diverse manufacturers and product generations, many disassembly and remanufacturing processes still take place manually today. “We are almost talking here about a batch size of 1 in the return flow of battery packs,” explains Jan Pollmann, development engineer for automation systems at Liebherr. In order to achieve a high recycling rate and to be able to process the increasing return volumes economically, it is necessary to automate the processes. Another aspect is occupational health and safety: automated disassembly ensures the health and safety of employees and excludes their exposure to high voltage, hazardous substances or fire risks.. Liebherr develops automated disassembly processes for battery packsThe “ZIRKEL” research project, funded by the German Federal Ministry of Education and Research (BMBF), involves an interdisciplinary consortium from research and industry to investigate the entire recycling management of batteries. As part of this project, Liebherr is developing strategies and processes for the automated disassembly of battery packs. The aim is to recover and recycle the highest possible proportion of raw materials by mechanically disassembling and sorting the components. By removing valuable components or those containing pollutants at an early stage, the cost- and energy-intensive pyro- and hydrometallurgical processing of the so-called black mass, i.e. the raw material mixture that remains after the batteries have been shredded, is reduced.Automation challenges In addition to the variety of batteries, a number of other challenges exist for an automated disassembly process: used batteries can be corroded, deformed or damaged. Contaminated components are sometimes difficult for vision systems to detect. Sealants, adhesives or heat-conducting pastes change their consistency and properties over time and may be difficult to remove. Risks such as high-voltage or hazardous substances must be taken into account. And finally, the disassembly of flexible parts such as cables or cooling hoses is difficult to automate. “In principle, the established assembly process runs backwards here, but it is many times more complex,” explains Viktor Bayrhof, Product Manager for Automation Systems at Liebherr.. Pilot plant for the “ZIRKEL” joint projectLiebherr's first pilot plant will be installed at the Open Hybrid LabFactory research campus in Wolfsburg in July 2023. Liebherr will continue to support the project there and carry out further test series. The results will be incorporated into a planned industry guideline for recyclable battery product design. “We are pleased to be able to contribute our process expertise in the field of automation to this future-oriented project,” explains Jan Pollmann.. DownloadsHere you will find the press release and images for download.. Presseinformation DeutschDOCX (174 KB)Presseinformation DeutschPDF (516 KB)Press release EnglishDOCX (176 KB)Press release EnglishPDF (511 KB)ImagesZIP (272 KB). . Thomas WeberHead of MarketingLiebherr-Verzahntechnik GmbHKaufbeurer Straße 14187437 Kempten/AllgäuGermanyPhone+49 8317 8632-85Fax+49 8317 8639-50Send contact request. "
Nine new Liebherr cranes for the next Wiesbauer generation,Press releases |03/01/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/nine-new-liebherr-cranes-for-the-next-wiesbauer-generation.html?page=11,"Wiesbauer GmbH & Co.KG has added a Liebherr LR 1700-1.0 to its crawler crane fleet. At the end of December, the new 700-tonner was able to prove itself in its first operation in Marbach am Neckar. At the same time, the company based in Bietigheim-Bissingen has ordered eight mobile cranes with lifting capacities from 70 to 650 tonnes from Liebherr in order to rejuvenate and, in some cases, expand its fleet.Find out more",Press releases,03/01/2023,"""As we already have a 650-tonne and a 1,000-tonne crawler crane in our fleet, the LR 1700-1.0 is the ideal addition to the mid-range of our crawler crane portfolio,"" explains Marco Wilhelm, authorised signatory and head of technology at Wiesbauer.Wiesbauer has procured the LR 1700-1.0 for the assembly of wind turbines as well as for use in infrastructure and industrial projects. ""We see this crane class and this type of crane as very future-oriented in terms of lifting capacity and innovative boom systems. We are also impressed by the clever design features that are standard with a Liebherr,"" adds Marco Wilhelm.During the first operation, Wiesbauer used the new LR 1700-1.0 with its innovative derrick system. The V-frame ballasting system is a hydraulically adjustable folding frame which enables the ballast radius of the LR 1700-1.0 to be infinitely adjusted between 13 and 21 metres. A rigid ballast guide is thus no longer required for large radii. For the construction of an electrical power plant in Marbach am Neckar, the LR 1700-1.0 lifted a 230-tonne transformer off a ship. ""We were very satisfied with the performance of the new LR 1700-1.0 during this first job,"" explains Jochen Wiesbauer, who planned this crawler crane operation.The company has enjoyed a good partnership with Liebherr for decades. Florian Wiesbauer: ""Together with Liebherr, we create goal-oriented solutions time and again. We believe in the quality and reliability of their cranes.""At the end of December, Wiesbauer ordered further cranes from Liebherr: two LTM 1070-4.2's, two LTM 1090-4.2's, two LTF 1060-4.1's, one LTM 1300-6.3 and one LTM 1650-8.1. They will rejuvenate Wiesbauer's fleet and in some cases also expand it. ""Through these new purchases and when making our purchasing decision, we placed great emphasis on the fact that all the counterweight plates on the smaller cranes and the booms on the larger cranes can be easily and quickly dismantled in order to achieve lighter driving conditions for the cranes, as the topic of vehicle weight, axle load and driving permits is becoming increasingly controversial throughout Germany,"" explains the Wiesbauer team.Management by the 4th generation: the crane family sticks togetherFollowing the sudden, tragic death of Thomas Wiesbauer in April of last year, the Wiesbauer family business is now under the joint stewardship of its third and fourth generations. In Sissy and Florian Wiesbauer, the fourth generation of the family has taken over the operational management side and works closely with Sabine and Jochen Wiesbauer. With around 90 cranes and a workforce of 180, Wiesbauer GmbH & Co.KG is a major provider of crane and heavy haulage logistics services based in southern Germany.Florian Wiesbauer: ""We already initiated the handover to the new generation two years ago. However, the death of our father has accelerated our repositioning. We are glad that, as a strong crane family, our team can master the current challenges."" Florian has already been working on the operational side of the business for five years. Sissy moved to Wiesbauer in July after gaining experience externally as a manager at another company. The great-grandchildren of the company founder Franz Wiesbauer want to provide new impetus and focus first and foremost on the topics of sustainability and digitalisation. ""We aim to counteract the shortage of skilled workers through modern approaches. We are also analysing our product range and will make necessary adjustments. We are open to new ideas,"" says Sissy Wiesbauer.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (1.1 MB)Presseinformation Deutsch PDF (564 KB)Press release EnglishDOCX (1.1 MB)Press release EnglishPDF (559 KB)ImagesZIP (3.5 MB). . Wolfgang BeringerMarketing and CommunicationLiebherr-Werk Ehingen GmbHDr.-Hans-Liebherr-Straße 189584 Ehingen (Donau)GermanyPhone+49 7391 502-0Fax+49 7391 502-3403Send contact request. "
Liebherr receives major order including new flagship for MSG Krandienst,Press releases |03/01/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-receives-major-order-including-new-flagship-for-msg-krandienst.html?page=12,"The crane company MSG Krandienst GmbH based in southern Germany has purchased 13 new mobile cranes from Liebherr. This major order also includes an 800-tonne LTM 1750-9.1 that will become MSG's new flagship. In addition to technical considerations, Liebherr's aftersales service and the long-term value retention of its cranes, Liebherr's universal control system, which is the same for all cranes, was a key factor in MSG's purchasing decision.Find out more",Press releases,03/01/2023,"The major order placed by MSG Krandienst GmbH includes five LTM 1060-3.1 cranes, four LTM 1090-4.2, two LTM 1230-5.1, one LTC 1050-3.1 and one LTM 1750-9.1. Besides other criteria, the existence of a uniform crane control system across all models convinced MSG to choose Liebherr. ""Above all, we wanted to standardise our 3- and 4-axle crane class. For our drivers, switching between Liebherr cranes is much easier because they all have the same control system. We can also create significant synergies in the workshop,"" explains Bjoern Jatz, Managing Director of MSG. The new cranes will partly replace MSG's older 3-axle models. In total, MSG is increasing its crane fleet to 50 machines, which are mainly used in industrial, plant, steel and commercial construction, as well as in precast concrete and petrochemical assembly.LTM 1750-9.1 – the new flagship for MSGAs the largest and most powerful mobile crane in this large order, the LTM 1750-9.1 will become MSG's new flagship. ""Future markets in infrastructure, bridge construction and renewable energy will come into focus and offer a lot of potential. That's why we decided to purchase a new crane for these areas, the LTM 1750-9.1. It will perfectly complement our existing heavy cranes, which include the LTM 1450-8.1 and LTM 1650-8.1."" The 9-axle crane can carry the complete telescopic boom on public roads with a 12-tonne axle load. In addition, thanks to the removable boom, it can be unloaded to achieve an axle load of less than 10 tonnes, which offers advantages in terms of driving permits. ""The LTM 1750-9.1 is the most powerful crane in its class and the 800-tonne upgrade makes it even more capable,"" says Jatz. ""The machine is technically state-of-the-art and prepares us very well for the future.""Many reasons to choose Liebherr High quality products, efficient order processing and a reliable, responsive aftersales service are key criteria for MSG. In addition to the uniform control system, Jatz cites other factors in his decision to work with Liebherr: ""The VarioBase® and VarioBallast® technology, the machine design and the excellent value of the Liebherr cranes convinced us.""About MSG Krandienst GmbHMSG Krandienst GmbH was founded in 1993 and currently employs around 120 people. MSG has long been broadly positioned in the small to medium crane class from 40 to 200 tonnes. In recent years, the company has also steadily expanded its fleet to include heavy-duty machines – up to and including the new Liebherr 800-tonner. The company, which operates two locations in Baden and one in Alsace, works across borders in Germany and France.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (329 KB)Presseinformation Deutsch PDF (340 KB)Press release EnglishDOCX (328 KB)Press release EnglishPDF (336 KB)ImagesZIP (6.7 MB). . Wolfgang BeringerMarketing and CommunicationLiebherr-Werk Ehingen GmbHDr.-Hans-Liebherr-Straße 189584 Ehingen (Donau)GermanyPhone+49 7391 502-0Fax+49 7391 502-3403Send contact request. "
Focus on students: Liebherr and Hochschule Neu-Ulm University of Applied Sciences enter into strategic partnership,News |02/28/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/focus-on-students-liebherr-and-hochschule-neu-ulm-university-of-applied-sciences-enter-into-strategic-partnership.html?page=12,"Liebherr has entered into a new strategic partnership with Hochschule Neu-Ulm University of Applied Sciences (HNU). The aim of the cooperation agreement, which was concluded together with other companies from the university's catchment area: A new network that is intended to promote innovative strength in the region in an even more targeted manner, as well as to secure skilled workers and expand international competitiveness.Find out more",News,02/28/2023,"The core of the network, which can be expanded in the future, is based on HNU's tried and tested corporate cooperation, which already existed with the Liebherr Group. The cooperation partners, which include internationally active companies, industry leaders and medium-sized or family-owned companies, represent the regional mix of industries. At a joint kick-off event, the new network partners were able to get to know each other and exchange ideas. Various joint projects are planned for the future.Liebherr focuses on promoting young professionalsCooperation with colleges and universities and the promotion of young people is a key concern for Liebherr as an employer. On the one hand, the skilled workers and young professionals of tomorrow can already gain experience of working life and a wide range of professional fields during their training. For this reason, many students, including those from HNU, work in the Liebherr Group as part of internships, student jobs, Bachelor's and Master's theses. In many cases, these activities lead to permanent employment after graduation. On the other hand, Liebherr also actively promotes the transfer of knowledge through its cooperation with universities and passes on specialist know-how during guest lectures or plant visits, for example: from mechanical engineering to marketing and communication to software and IT or logistics.Are you interested in a student job or a career start at Liebherr? Find out more here:Offers for studentsOffers for young professionals"
Liebherr’s first battery-powered crawler crane in Asia,Press releases |02/27/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherrs-first-battery-powered-crawler-crane-in-asia.html?page=12,"A handover ceremony to celebrate Gammon Construction taking possession of Hong Kong’s first battery-powered crawler crane was held on 11 January 2023. Introduction of the LR 1160.1 unplugged to its plant fleet marks a milestone on Gammon’s journey to achieving its company-wide emission reduction targets, which are in line with climate science and the Science Based Target initiative (SBTi).Find out more",Press releases,02/27/2023,"Delivered from Austria and with a maximum lifting capacity of 160 metric tonnes, the new crawler crane will be deployed on Gammon’s Terminal 2 Expansion project at Hong Kong International Airport. The crane with an alternative drive system enables a healthier working environment for everyone working on site, and a net carbon saving of nearly 76 metric tonnes CO2e every year. It can also be used in both plugged and unplugged modes, which provides flexibility in its site deployment. In addition, the battery has a short charging time of only 4.5 hours.“With our unplugged cranes we offer our customers an alternative drive design. As we have already seen with the LB 16 unplugged, the first battery-powered drilling rig, the strategy is a complete success. Strict requirements regarding environmental sustainability in tenders for construction projects increase the demand for advanced technologies. For us, it was clear that we extend and successfully establish the design in further product groups,” says Andreas Ganahl, Managing Director for Sales at Liebherr (HKG) Ltd.Gammon Chief Executive Kevin O’Brien said, “Gammon believes business sustainability and environmental sustainability are inherently interlinked. Introduction of the first electric crawler crane to Hong Kong demonstrates Gammon’s commitment towards net zero. We look forward to having quieter, cleaner and lower carbon construction sites in the future.”Gammon: A commitment to zero emissionUnder the SBTi commitment, Gammon is setting two targets for 2033: (a) cutting 55% of the company’s absolute energy-related emissions through early site electrification, the deployment of electric plant and vehicles, increased energy efficiency and the adoption of modern methods of construction; and (b) reducing the company’s indirect emissions - mainly the embodied carbon in materials - by 33% through modularisation and reuse of structural steel, lower carbon concrete mixes, procurement of lower carbon steel, optimised material usage through design and construction methods, and selection of alternative materials with a lower carbon footprint.Last year, Gammon also introduced CarbonCure technology to Hong Kong, whereby carbon dioxide is injected into concrete to help reduce its carbon footprint. The construction company is pleased to be an industry frontrunner in the adoption of green construction technology.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (196 KB)Presseinformation Deutsch PDF (250 KB)Press release EnglishDOCX (196 KB)Press release EnglishPDF (247 KB)ImagesZIP (902 KB). Gregor  Grießer Strategic Marketing and CommunicationsLiebherr-Werk Nenzing GmbHDr. Hans Liebherr Straße 16710 NenzingAustriaSend contact request. "
First Liebherr LTM 1450-8.1 mobile crane in Serbia,Press releases |02/24/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/first-liebherr-ltm-1450-8-1-mobile-crane-in-serbia.html?page=12,The first LTM 1450-8.1 in Serbia has been handed over to the crane and heavy haulage company RT-trans d.o.o.Find out more,Press releases,02/24/2023,"RT-trans d.o.o. is the first Serbian company to receive an LTM 1450-8.1 – the 450-tonne machine will expand its crane fleet. ""Our volume of work and customer enquiries regarding this crane capacity have increased,"" explains company founder Rajko Tadic. ""This crane is a good fit for our fleet as it offers additional benefits for us and our regular customers.""Powerful 8-axle crane with worldwide economical mobilityThe LTM 1450-8.1 has been designed to ensure cost-effective mobility worldwide and fast, easy set-up on the construction site. Its powerful 7-section telescopic boom offers a maximum length of 85 metres. In addition, this large fast-erecting crane can travel on public roads with an axle load of 12 tonnes and a weight of 96 tonnes with the complete boom, all outriggers and the hoist winch.For reduced axle loads and overall weights, crane components such as jib sections and outriggers can be removed quickly and easily. Dusko Tadic, Rajko Tadic's son and co-owner of RT-trans, says: ""A very important feature of the LTM 1450-8.1 is that it can easily be brought down to a transport weight of under 72 tonnes. This will significantly reduce the cost of permits for oversized transports. It doesn't even require an auxiliary crane for assembly and disassembly.""Uniform operating concept and Liebherr service convinceIn addition to the LTM 1450-8.1, RT-trans purchased an LTM 1050-3.1 and an LTM 1060-3.1 last year. ""The uniform operating concept of Liebherr cranes, the positive feedback from our crane operators, the safety features and, above all, the cooperation with Liebherr sales and service partner DS Inženjering, who have supported us with excellent service for many years, all influenced our decision to choose Liebherr cranes,"" explains Dusko Tadic.""It's important for us that the service team responds quickly so there are no interruptions and delays to our work. With the purchase of the new Liebherr crane, we have improved the most important aspect of our business, namely safety,"" adds Dusko Tadic. The new crane's main tasks at RT-trans will be in the areas of refinery and port handling, bridge construction and other current projects in Serbia.A Liebherr mobile crane for the 30th anniversaryThe family-owned company RT-trans d.o.o. based in Beograd, Serbia, was founded three decades ago and now has around 50 employees. ""After 30 years of work, it was one of our birthday wishes that our company would treat itself to a gift like this,"" says Rajko Tadic, who is delighted with the purchase of the LTM 1450-8.1. The company's current fleet consists of 26 cranes with load bearing capacities from 35 to 450 tonnes. Twenty-two of these cranes were manufactured by Liebherr. The Serbian company offers a complete service in the field of crane rental and heavy transport. Its other main activities include the design, manufacture and use of special tools for lifting loads. RT-trans is mainly active in the construction of bridges, moving machines, formation factory lines and concrete and steel structures.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (488 KB)Presseinformation Deutsch PDF (433 KB)Press release EnglishDOCX (486 KB)Press release EnglishPDF (431 KB)ImagesZIP (9.3 MB). . Wolfgang BeringerMarketing and CommunicationLiebherr-Werk Ehingen GmbHDr.-Hans-Liebherr-Straße 189584 Ehingen (Donau)GermanyPhone+49 7391 502-0Fax+49 7391 502-3403Send contact request. "
Liebherr-Aerospace at MRO Middle East 2023,News |02/24/2023,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-aerospace-at-mro-middle-east-2023-news.html?page=12,"From March 1 to 2, 2023, Liebherr-Aerospace will welcome visitors at its booth #622 at MRO Middle East in Dubai (U.A.E.)Find out more",News,02/24/2023,"Liebherr-Aerospace is looking forward to participate in MRO Middle East in Dubai (U.A.E.), which will take place from March 1 to 2, 2023.4000+ attendees are expected and Liebherr will showcase its manifold customer services activities and capabilities during this leading event and destination for the commercial aviation aftermarket in the region.The Liebherr-Aerospace team will talk with guests about sustainable lifecycle support and the company’s continuous work on innovative repair solutions and product enhancements to reduce maintenance costs and to meet new airworthiness requirements.As a Design Organization Approved (DOA) company, Liebherr can use the wide range of test capabilities from its OE facilities to quickly develop and implement its enhancements."
